id,projects(slug),title_en,title_kk,title_ru,external_link,internal_link
234,economy,National Contact Point,Ұлттық байланыс орталығы,Национальный контактный центр,,/memleket/entities/economy/activities/6109
133,mod,Hotline on the new mechanism for providing housing for military personnel,Әскери қызметшілерді баспанамен қамтамасыз ету мәселелері және зейнеткерлерге тұрғын үйді алмастыру бойынша Қауырт желі,Горячая линия по вопросам обеспечения жильем военнослужащих и обмена жилища пенсионерами,,/memleket/entities/mod/press/article/details/1770?lang=ru
94,adilet,ILS Adilet,Әділет АҚЖ,ИПС Әділет,http://adilet.zan.kz,
92,adilet,Debtors Register,Борышкерлер тізілімі,Реестр должников,https://www.gov.kz/services/3187,
93,adilet,List of debtors,Қазақстан Республикасының шекарасынан шығуы уақытша шектелген тұлғалардың тізімі,"Список должников, временно ограниченных на выезд из РК",https://aisoip.adilet.gov.kz/debtors,
53,kds comprom kgoz, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/miid
172,akk din inf fam etnic culture archive, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/mam
319,qyzmet,Vacancies for administrative positions,Әкімшілік лауазымдарға бос орындар,Вакансии для административных должностей,,/memleket/entities/qyzmet/vacancies
177,mti-ktrm mti-kzpp, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/mti
176,sport tourism, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/tsm
174,lspm, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/enbek
57,kaenk, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/energo
47,police migration ps kvv, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,https://gov.egov.kz/memleket/entities/qriim,
175,intinf invest mfa-almaty, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/mfa
49,land agroindust vetcontrol, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/moa
50,science, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/sci
54,kgd kvga gosreestr kazyna, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/minfin
44,kazcosmos infsecurity telecom kgk kgu,  Back to the Ministrys page,  Министрліктің бетіне оралу,  Вернуться на страницу Министерства,,/memleket/entities/mdai
664,shekaraknb,Go to the website of the NSC of the Republic of Kazakhstan,ҚР ҰҚК сайтына өту,Перейти на сайт КНБ РК,https://www.gov.kz/memleket/entities/knb?lang=ru,
277,shymkent-saulet, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
545,astana-karzhy nur-sultan-uagz nur-sultan-bilim nur-sultan-uad astana-tildamytu nur-sultan-kurylys nur-sultan-saulet nur-rkastanagov nur-sultan-zhastar astana-udr astana-sport astana-ue astana-upr astana-uir astana-usbp astana-kkgs astana-urgsa astana-uvp astana-madeniet astana-uzsp astana-uoz astana-uzh astana-almaty astana-esil astana-saryarka astana-baikonyr, Return to the Akimat page, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/astana
283,shymkent-zhumys-aleumettik-korgau, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
524,emer,Жедел ақпарат,Жедел ақпарат,Экстренная информация,,/memleket/entities/emer/press/article/details/162791
51,ksek, Back to the Ministrys page, Министрліктің бетіне оралу, Вернуться на страницу Министерства,,/memleket/entities/dsm
56,stat, Back to the Agency page, Агенттік бетіне оралу, Вернуться на страницу Агенства,,/memleket/entities/aspr
267,shymkent-bilim, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/shymkent?lang=ru
271,shymkent-tabigi-resurstar, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
360,shymkent-kurylys, Go back to the Akimat page, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,/memleket/entities/shymkent?lang=eng,
279,shymkent-energetika-kommunal, Return to the Akimat page, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/shymkent?lang=kk
268,shymkent-sport, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
315,shymkent-til, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,/memleket/entities/shymkent?lang=ru,
314,shymkent-zher, Return to the Akimat page, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/shymkent?lang=kk
642,aktobe-sport, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/aktobe?lang=ru
376,kostanai-bilim, Bask to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
420,kostanai-zhastar-sayasaty, Go back to the Akimat page, Әкімдік бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay
338,shymkent-zhan-uay-bala-zhastar, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
337,shymkent-karzhy, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
287,shymkent-ekonomika-karzhy, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
262,shymkent-turgyn-ui, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
266,shymkent-auyal-zharuazhalyk, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
349,kostanai-rudnyi-kalasy-akimat, Website of Akimat of Kostanay region, Қостанай облысы әкімдігінің сайты, Сайт Акимата Костанайской области,,/memleket/entities/kostanay
370,kostanai-altynsarin-audany-akimat, Return to the page of the regional akimat, Облыстық әкімдіктің бетіне оралу,  Вернуться на страницу областного акимата,,/memleket/entities/kostanay
374,kostanai-amangeldi-audany-akimat,  Back to the Akimat homepage,  Әкімдіктің басты бетіне оралу,  Вернуться на страницу Акимата,,/memleket/entities/kostanay
385,kostanai-auliekol-audany-akimat,  Website of Akimat of Kostanay region,  Қостанай облысы әкімдігінің сайты,  Сайт Акимата Костанайской области,,/memleket/entities/kostanay
402,kostanai-denisov-audany-akimat, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
379,kostanai-zhangeldi-audany-akimat, Bask to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
303,vko-oskemen vko-ridder vko-glubokoe vko-zaysan vko-katon-karagay vko-altai vko-kurchum vko-tarbagatay vko-ulan vko-shemonaiha vko-ekonomika vko-sayasat vko-densaulyk vko-social vko-cultura-arhiv vko-bilim vko-til vko-transport vko-kasipkerlik vko-ump vko-kurylys vko-karzhy vko-energy vko-zher vko-sport vko-tabigat vko-agro vko-enbek vko-gask vko-zher-paidalanu-udalen vko-goszakup vko-uca vko-samar, Return to the Akimat page, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/akimvko
408,kostanai-karasy-audany-akimat, Return to the page of the regional akimat, Облыстық әкімдіктің бетіне оралу, Вернуться на страницу областного акимата,,/memleket/entities/kostanay
375,kostanai-kostanai-audany-akimat,  Bask to the Akimat homepage,  Әкімдік бетіне оралу,  Вернуться на страницу Акимата,,/memleket/entities/kostanay
735,kostanai-kostanai-audany-akimat,   Go to the page of the maslikhat of Kostanay region, Қостанай ауданы мәслихатының парағына өтіңіз,  Перейти на страницу маслихата Костанайского района,https://www.gov.kz/memleket/entities/maslihat-kostanay-reg?lang=ru,
384,kostanai-naurzum-audany-akimat, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
169,kostanai-lisakovsk-kalasy-akimat, Back to the Akimat hompage,Әкімдiктің басты  бетіне оралу, Вернуться на страницу Акимата,https://gov.kz/memleket/entities/kostanay,/memleket/entities/kostanay
372,kostanai-bmalin-audany-akimat, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
398,kostanay-fedorov, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,kostanay
378,kostanai-akparattandyru-mem-kysmet, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
437,kostanai-veterinariya,  Go back to the Mayors office page,  Әкімдік бетіне оралу,  Вернуться на страницу Акимата,https://www.gov.kz/memleket/entities/kostanay?lang=ru,
168,kostanai-kalasy-akimat,  Back to the Akimat homepage,  Әкімдіктің басты бетіне оралу,  Вернуться на страницу Акимата,,/memleket/entities/kostanay
405,kostanai-memleket-saulet, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay?lang
429,kostanai-memleket-satyp-alu, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
409,kostanai-ishki-sayasat, Go back to the Akimat page, Әкімдік бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay
373,kostanai-zhumys-aleumettik-korgau, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу,  Вернуться на страницу Акимата,,/memleket/entities/kostanay?lang
400,kostanai-ekonomika-zhosparlau, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
377,kostanai-mendykarin-audany-akimat,  Go back to the page of the Governors Office of Kostanay region,  Қостанай облысы әкімдігінің бетіне оралу,  Вернуться на страницу Акимата Костанайской области,,/memleket/entities/kostanay
425,kostanai-madeniet, Go back to the akimat page, Әкімдік бетіне оралу, Вернуться на страницу акимата,,/memleket/entities/kostanay
340,shymkent-kurylys-bakylau,Back to the Akimat homepage,Әкімдіктің басты бетіне оралу,Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
682,krem,  Back to the Ministrys page,  Министрліктің бетіне оралу,  Вернуться на страницу Министерства,,/memleket/entities/economy
611,vko-bilim,Online broadcast,Онлайн көрсетілім,Онлайн трансляция,,/memleket/entities/vko-bilim/press/events/details/6611
651,aktobe-irgiz, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
432,kostanai-til, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay?lang
426,kostanai-auyal-zharuazhalyk-zher, Go back to the Akimat page, Әкімдік бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay
428,kostanai-karzhy, Go back to the main page,Басты бетке оралу,Вернуться на главную страницу,https://www.gov.kz/memleket/entities/kostanai-karzhy?lang=ru,
430,kostanai-energetika-kommunal, Go back to the Akimat page, Әкімдік бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay
449,kostanai-tabigi-resurstar, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanai-tabigi-resurstar?lang
435,kostanai-zhol-kolik, Go back to the Akimat page, Әкімдік бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay
434,kostanai-enbek, Go back to the Akimat page, Әкімдік бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay
421,kostanai-zher-paidalanu, Go back to the Akimat page, Әкімдік бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay
439,kostanai-densaulyk, Go back to the main page, Басты бетке оралу, Вернуться на главную страницу,https://www.gov.kz/memleket/entities/kostanay?lang=en,
320,shymkent-turizm, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/shymkent
614,bko-bilim,E-GOV,E-GOV,E-GOV,https://egov.kz/cms/ru,
