id,projects(slug),title,name,url
1265,almobl-tourism,insta,,https://www.instagram.com/visitalatau/
805,kyzylorda-transport,Instagram,,https://instagram.com/zholaushylar_koligi_baskarmasy?igshid=YmMyMTA2M2Y=
3427,kgd-zhambyl,,,https://www.facebook.com/permalink.php?story_fbid=2855262361452244&id=100009055232059
3423,kgd-zhambyl,,,https://www.facebook.com/permalink.php?story_fbid=2854428661535614&id=100009055232059
3422,kgd-zhambyl,,,https://www.facebook.com/permalink.php?story_fbid=2855098328135314&id=100009055232059
3421,kgd-zhambyl,,,https://www.facebook.com/permalink.php?story_fbid=2855103924801421&id=100009055232059
4334,kegen-boleksaz,,,https://www.gov.kz/api/v1/public/rss/zhetysu-kegen/news/ru
4335,kegen-boleksaz,,,https://www.instagram.com/kegen_audany_akimdigi/
4336,kegen-boleksaz,,,https://vk.com/id483340346
47,enbek,Facebook,Facebook,https://www.facebook.com/enbek.gov.kz/
14,mps,Facebook,Facebook,
11,economy,Facebook,Facebook,https://www.facebook.com/mineckz
38,mfa,Facebook,Facebook,https://www.facebook.com/KazakhstanMFA
52,mam,Facebook,Facebook,https://www.facebook.com/madenietaqparat/?locale=ru_RU
21,energo,Facebook,Facebook,https://www.facebook.com/minenergork
577,prokuror,facebook,Facebook,https://www.facebook.com/GenProkRK
31,tsm,Facebook,Facebook,https://www.facebook.com/%D2%9A%D0%A0-%D0%9C%D3%99%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%D1%82-%D0%B6%D3%99%D0%BD%D0%B5-%D1%81%D0%BF%D0%BE%D1%80%D1%82-%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%BB%D1%96%D0%B3%D1%96-%D0%9C%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D0%B5%D1%80%D1%81%D1%82%D0%B2%D0%BE-%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D1%8B-%D0%B8-%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B0-%D0%A0%D0%9A-398062810292709/
1055,geology,Geology Committees Facebook page,Facebook,https://www.facebook.com/CommitteeGandRE/?ref=bookmarks
